t (s),average relative deviation,standard deviation
0.00755,0.00238618232140887,0.005975886640940587
0.0152,0.003754470101238676,0.0047649435561816665
0.022975,0.0017674213446848442,0.0041845192994667095
0.030875,0.0016836644538117788,0.006131164326115956
0.0388875,0.0038223326739071323,0.004030693131273335
0.0470125,3.40982381092997e-05,0.0057712942237252715
0.055275,0.0012210718647795756,0.001592241647715284
0.06365,0.003505939318177873,0.00354460088570955
0.0721625,0.0006199937554132526,0.006338242996213341
0.0807875,-0.0025930218797459,0.0032065133872982705
0.0895625,-0.0009127469137018372,0.004295214554208328
0.09845,-0.002416772320024352,0.0025705910455723863
0.107487,0.002671373759382858,0.0029583637906896664
0.11665,-0.0024143934322119966,0.003554867784467716
0.125962,-0.0003503512030581125,0.0038655636257652376
0.135412,0.0009701492262310903,0.0016585097299865723
0.145,0.0014550723430735892,0.004616131691834477
0.154725,0.00030935272145757206,0.0027800579387809365
0.164613,0.0003738036691877061,0.005509434931486303
0.174637,-0.0020606964449398388,0.0028200729328375974
0.184825,-0.0032794658352481355,0.00390818101061711
0.195163,-0.003429901553840721,0.0021168942333919024
0.20565,-0.0009574594988758213,0.0012826861433886474
0.2163,-8.063649960117455e-05,0.004352384153266145
0.227113,-0.00035198528436721253,0.0031975953579192517
0.238075,-0.00224534846094959,0.0031131983437804474
0.249225,-0.0020203359740221297,0.0034986306588580558
0.260525,0.0009548419583481946,0.002998861846204864
0.272,-0.0012110257546523687,0.0023892635116756697
0.28365,-0.00025380986203714243,0.003782362078274167
0.295475,0.00010042662527682254,0.0037997000808341055
0.307487,0.00020223840526786786,0.0032791099837253877
0.319675,-0.00024322158384208759,0.0043563396703334995
0.332038,-0.0007795824463925893,0.0036216407828607126
0.3446,-0.0007619761186598986,0.002609225856448609
0.35735,-0.0003305620725181652,0.0036122934957865216
0.370288,-0.002298331782217732,0.004564813405346232
0.383413,-0.001369818918065131,0.002450415660789838
0.39675,0.00027885203418454924,0.0015924552112481466
0.410287,-0.00039570670684450503,0.003959487528915566
0.424025,-0.00021417112571153223,0.0015833414352633612
0.437963,1.0725299309635763e-05,0.0024669111027026893
0.452125,0.0005846851385858986,0.003217041158481043
0.466487,0.0016102356381756673,0.00398956534057072
0.481075,0.0016434417493903974,0.0031992169235350696
0.495875,0.0008816485250683852,0.001218380656846361
0.510912,0.0017040037400668055,0.002782519710440902
0.526163,-0.0023405786071113263,0.0023205452581659073
0.54165,0.0002115961641974928,0.0030843581535904153
0.557375,0.001992022471009356,0.0016820050804449808
0.573325,-0.0005781734150114137,0.0015109343659079745
0.589525,-0.002745764340529759,0.0020321338697822586
0.605975,0.0008644645752026425,0.002515654524274498
0.622662,-5.532130052066846e-05,0.0022435237438192435
0.6396,0.0014700304354727325,0.003022554722287216
0.6568,-0.0002736113929340971,0.001170936200251233
0.674263,0.0005592472400365066,0.002097412194050018
0.691975,0.00018893210178110327,0.003535773926566559
0.709962,0.001018994239400663,0.00241659744863632
0.728225,-0.0018717597917313007,0.0023025246830900166
0.746763,0.0005640077885765264,0.003860155993430394
0.765575,0.0008876939313667963,0.0025356911351388377
0.784675,6.54986611653771e-05,0.0017489030057082611
0.804062,-0.0007102398844243403,0.0024158769386512053
0.82375,-0.0008448766739687423,0.0027545479365458873
0.843725,-0.0007437677505254084,0.0024968316290454283
0.864,0.000571294876786882,0.00228271892165311
0.884588,-0.0006298205424563351,0.0035047449291181593
0.905487,-0.0005077190682996638,0.002710377139019841
0.926687,-0.0004186183644534153,0.001876262592430611
